694, -42, 6
694, -42, 6
522, 195, -40
348, 434, 32
302, 587, 157
302, 587, 157
330, 558, 322
430, 530, 251
593, 518, 176
683, 463, 155
742, 448, 112
742, 448, 112
800, 444, 156
869, 437, 96
924, 417, 44
949, 427, 68
949, 427, 68
937, 431, 120
935, 419, 154
940, 432, 128
936, 414, 101
936, 414, 101
932, 393, 84
919, 383, 116
951, 367, 76
980, 297, 73
980, 297, 73
1023, 213, 47
1037, 139, 34
1005, 67, 62
952, 67, 65
952, 23, 65
922, -37, 22
874, -147, 6
874, -147, 6
836, -309, -23
825, -453, -93
883, -619, -168
972, -799, -295
1005, -913, -329
1001, -938, -277
980, -931, -292
949, -880, -356
877, -775, -342
795, -647, -297
709, -525, -200
605, -400, -75
605, -400, -75
487, -264, 63
400, -172, 72
357, -110, -83
324, -55, -214
269, 2, -218
269, 2, -218
253, 51, -160
348, -57, -158
519, -333, -188
718, -551, -274
849, -558, -272
867, -510, -160
887, -478, -78
980, -419, -21
980, -419, -21
1116, -307, 62
1232, -222, 217
1442, -220, 227
1693, -303, 446
1813, -293, 588
1818, -197, 821
1776, -84, 795
1731, -148, 767
1683, -211, 700
1520, -218, 611
1395, -241, 515
1395, -241, 515
1321, -286, 353
1267, -343, 212
1244, -370, 115
1229, -413, 38
1197, -423, 58
1189, -437, 107
1255, -480, 168
1302, -508, 123
1263, -384, 81
1174, -206, 179
1143, -132, 261
1143, -110, 241
1143, -110, 241
1117, -110, 118
1096, -137, -10
1036, -118, -56
898, -18, -77
690, 137, -16
456, 330, 80
324, 523, 19
324, 523, 19
295, 602, 5
306, 618, 82
335, 609, 234
335, 609, 234
448, 540, 299
649, 429, 187
773, 365, 151
853, 374, 151
907, 399, 170
907, 399, 170
947, 410, 144
1015, 406, 91
1094, 386, 54
1145, 388, 3
1145, 388, 3
1106, 434, -18
1028, 486, 37
998, 493, 83
1033, 423, 58
1053, 368, -38
1053, 368, -38
1010, 387, -39
965, 403, -15
897, 375, 75
873, 326, 139
897, 230, 93
897, 230, 93
899, 113, 36
861, -11, -25
827, -168, -38
848, -360, -139
864, -522, -214
864, -522, -214
864, -618, -251
872, -713, -285
907, -836, -304
955, -914, -384
965, -898, -447
900, -820, -396
797, -697, -341
689, -551, -293
593, -382, -263
520, -271, -202
476, -241, -176
446, -239, -139
427, -220, -90
430, -220, -37
430, -220, -37
455, -257, -37
474, -258, -82
484, -276, -65
519, -313, -131
583, -335, -263
662, -384, -384
748, -419, -459
850, -390, -391
956, -258, -322
1045, -65, -167
1045, -65, -167
1189, 64, 137
1427, 66, 323
1722, -56, 331
1882, -173, 499
1819, -154, 765
1737, -50, 768
1667, -10, 729
1615, -126, 599
1615, -126, 599
1533, -265, 461
1426, -280, 347
1341, -241, 226
1276, -251, 166
1245, -305, 144
1259, -392, 116
1267, -421, 109
1231, -332, 146
1232, -277, 166
1281, -204, 191
1348, -203, 251
1372, -160, 224
1343, -68, 232
1264, -6, 194
1264, -6, 194
1080, 141, 105
794, 363, 85
584, 543, 43
470, 668, 1
470, 668, 1
424, 682, -17
432, 594, -4
459, 524, 102
459, 524, 102
468, 503, 181
515, 485, 182
580, 436, 137
661, 387, 103
745, 377, 104
745, 377, 104
836, 370, 36
897, 377, 24
969, 422, 38
1050, 464, 8
1050, 464, 8
1105, 498, 15
1089, 524, 72
1055, 509, 135
1064, 457, 137
1064, 457, 137
1069, 418, 94
1026, 410, 44
976, 364, 19
906, 299, -29
826, 251, -104
826, 251, -104
736, 132, -108
692, -80, -179
679, -278, -365
710, -433, -526
764, -606, -582
765, -786, -428
747, -906, -281
769, -992, -233
866, -1039, -367
855, -1028, -417
814, -932, -356
737, -798, -279
672, -660, -239
672, -660, -239
622, -543, -244
583, -477, -241
564, -428, -226
